side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
short,2021-03-26 20:00:00,2021-03-29 01:00:00,1731.118,1731.805,3,-0.02104633309674142,0.9129118260329832,0.0,-0.0396853362971239
long,2021-03-29 01:00:00,2021-03-29 02:00:00,1731.805,1729.305,2,0.10370229484040205,0.9139554188749878,0.0,-0.14435805416891379
short,2021-03-29 02:00:00,2021-03-29 03:00:00,1729.305,1727.795,2,-0.0031114556824141104,0.9128834211860967,0.08731831573955962,0.0
long,2021-03-29 03:00:00,2021-04-01 13:00:00,1727.795,1728.618,80,-0.5689652175399629,0.9087553304377675,0.0476329657164154,-2.8693797585940484
short,2021-04-01 13:00:00,2021-04-13 06:00:00,1728.618,1727.538,151,0.11975507752133296,0.9122643228495155,0.3563540354201922,-1.6388814648464978
long,2021-04-13 06:00:00,2021-04-13 12:00:00,1727.538,1747.959,7,-0.0320543161158926,0.9105330743606376,1.1820868773943172,-0.1003161724951851
short,2021-04-13 12:00:00,2021-06-03 14:00:00,1747.959,1869.305,836,-7.572317984537225,0.84749455485882,0.7357724065610305,-9.565956638571027
long,2021-06-03 14:00:00,2021-06-04 04:00:00,1869.305,1866.718,14,-0.18817393791485948,0.8468973522102738,0.18044139399402415,-0.5166091140825113
short,2021-06-04 11:00:00,2021-06-11 17:00:00,1884.418,1877.075,120,-0.20114545770486547,0.8451938566548801,0.4850303913462861,-0.8982614260742539
long,2021-06-11 17:00:00,2021-07-06 04:00:00,1877.075,1803.875,367,-4.0196833519158925,0.8106863322607837,0.0,-6.530745974454932
short,2021-07-06 05:00:00,2021-07-06 15:00:00,1804.728,1794.188,11,0.22709207534052922,0.8125273366772168,0.584021525681433,-0.3239823397209962
long,2021-07-06 15:00:00,2021-07-07 06:00:00,1794.188,1805.348,15,0.31664667669106805,0.8164172514099866,0.6220083959986189,0.0
short,2021-07-07 08:00:00,2021-07-07 16:00:00,1806.408,1803.098,9,0.18506774449873475,0.8179281764028696,0.2657207009712059,-0.01267709177550369
